SMS,label,if_URL,if_phone,if_email
"Shipped: Your Amazon packagewith Old Spice High EnduranceDeodorant, Pure Sport, 3.0 oz,5... will be delivered Tue, May24. Track at http://a.co/4SJitSA",legitimate,1,0,0
"Arriving Today: Your Amazon package with Old Spice High Endurance Deodorant,PureSport, 3.0 oz,.. will be delivered by 8PM. Track at http://a.co/5mRhmyv",legitimate,1,0,0
"
Use [64547008] as One Time Password to login to your Swiggy Account pgLJ0BdTNB3
",legitimate,0,0,0
"
Biometric authentication is enabled for Kotak Bank Mobile Banking App on CPH2139 for CRN xx8418. To report fraud, click kotak.com/fraud
",legitimate,1,0,0
"
Alert! After successful mobile no. verification, Kotak Bank App has been activated for CRN xx8418 on CPH2139. If not you, REPORT FRAUD on kotak.com/fraud
",legitimate,1,0,0
"
Your WhatsApp code: 957-128
You can also tap on this link to verify your phone: v.whatsapp.com/957128
Don't share this code with others
",legitimate,1,0,0
"
90% daily data quota used as on 03-May-22 00:44.
Jio Number : 6280368198
For tips on how to manage data quota effectively, click https://youtu.be/ZFUDydctV78
If you do not have any other data plan, your internet speed will be reduced on consumption of 1.50 GB.
To continue enjoying high speed internet, click https://www.jio.com/dl/data_voucher and recharge.
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.
",legitimate,1,0,0
"
100% of daily 1.50 GB data quota exhausted as on 28-Apr-22 19:30. Jio Number : 6280368198 Daily high speed data quota will be restored on 29-Apr-22 01:19.
To know where you have consumed your data quota, click http://tiny1.jio.com/HelpfulTips
",legitimate,1,0,0
"
Recharge of Rs. 15.0 is successful for your Jio number 6280368198.
Entitlement: Benefits: Unlimited Data (1GB High Speed Data, thereafter unlimited at 64Kbps). Validity: Base Plans validity
Transaction ID: 30002160230062
To view details of your current and upcoming plan, click https://www.jio.com/dl/my_plans
To share your recharge experience, click https://www.jio.com/en-in/jio-rech-exp-survey?custid=30002160230062
Dial 1991, to know your current balance, validity, plan details and for exciting recharge plans.
",legitimate,1,0,0
"FREY: Hey Corinne, your FREY order has shipped!!!! We hope you're as excited as we are!!! Let us know if we can do anything foryou =) Just contact us here: https://tiny.ps/fpkcX",legitimate,1,0,0
"KFC is preparing your order, to be delivered between 12:50 PM and 1:00 PM. Track your food online or with the Grubhub app
grubhub.app.link/sms",legitimate,1,0,0
"
Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com
",legitimate,1,0,0
"
Return Request Accepted: Your return request for boAt Ba... from your order with order ID OD222900438837406000 has been accepted by the seller. A Wishmaster will pick up the originally delivered item by Saturday, Sep 25, 2021. The refund will be initiated within 1 business day of the pick up. Please keep the item in the product box along with accessories & tags ready for pickup. Please check your email for important details to ensure a successful pickup.
",legitimate,0,0,0
"Hey Dan! Thanks so much for signing up to FireText. Here's a handy video on how it works: http://fts.ms/1D1gpz
Cheers :)",legitimate,1,0,0
"
Thank You for using McDelivery Service, your One Time Password is 5005. This password expires in 30 minutes.
",legitimate,0,0,0
"
We hope you enjoyed your meal from KFC Janakpuri (W). We would like to hear about your experience. Please leave your feedback at https://tinyurl.com/2p96khfd
",legitimate,1,0,0
"See you in 2 hours! Happy Customer Advisory's webinaron customer service 101 startsat 1 pm ET.
Join here:
zoom.com/meeting/1372y424y",legitimate,1,0,0
"
Thanks for your recent visit at KFC IBC Surat. Please share your feedback at https://tinyurl.com/mtmacsa3 & avail 10% discount on next visit. T&C
",legitimate,1,0,0
"
Dear Customer, registration for Google Pay has started for ICICI Bank. If it was not you, report to your bank. Do not share card details/OTP/CVV with anyone.
",legitimate,0,0,0
